loss,id
1521.9102,4
2025.479,6
9071.91,9
6141.922,12
813.5382,15
2417.6077,17
2091.561,21
922.17615,28
2468.1462,32
3181.6196,43
2904.0425,46
954.8733,50
1209.1729,54
1919.2534,62
2313.1443,70
5048.6206,71
2049.2173,75
2507.1475,77
2547.4368,81
2365.6924,83
1929.5527,87
1653.0516,97
1187.5631,103
1096.0433,119
1972.3496,120
1002.4591,127
4308.106,138
3850.2612,141
734.28876,148
2510.9312,150
2154.002,151
1558.3527,158
5374.992,160
2807.5227,165
3678.6216,168
3935.4624,169
2759.889,177
2915.6208,178
2146.5337,184
9054.56,194
1844.7019,198
3575.8816,203
2345.3171,211
1279.8556,217
1434.355,219
4561.668,221
1684.4403,227
1690.914,230
2150.8086,235
687.0196,240
3060.043,243
7288.7905,249
2804.232,253
1502.3599,258
1706.1299,261
3544.7256,263
2482.3289,264
4011.3926,265
1753.3451,268
1138.3969,271
5604.681,274
699.22363,275
1463.4601,279
1730.2649,282
3261.5352,286
1106.1405,288
2045.519,294
996.7533,296
1273.2534,297
839.41174,300
8306.087,303
1089.1403,314
4598.7393,315
2407.3467,321
4079.8955,323
3725.0078,330
1838.0526,341
4269.203,342
1551.3339,352
3496.9497,353
4807.0986,360
2179.4072,361
4189.776,362
1395.3507,366
3475.744,372
2745.3157,376
2282.7,377
1660.7584,379
3918.5464,380
1863.8079,387
2009.7844,392
10436.351,394
1590.6553,395
1544.3081,397
5983.2954,407
8509.571,411
2783.8193,416
1520.533,417
3732.2236,419
5504.56,428
1824.8265,431
8105.328,436
1532.0167,438
6699.846,445
7100.211,446
1221.4236,455
1362.3997,456
934.19995,461
1903.394,463
3816.899,464
1776.805,466
1417.8727,467
1255.798,470
1495.5854,475
2947.9487,482
3638.6765,490
1773.614,496
4212.946,497
2833.193,508
1910.9773,510
1937.2332,512
3305.4531,513
1716.8597,523
4920.86,531
2321.103,532
1422.4585,533
1192.3092,537
4725.9272,544
2629.189,547
7743.7573,556
1360.76,565
1230.7356,566
1396.4891,571
1645.0784,573
956.79065,574
1966.8076,581
1976.1184,585
2040.2144,589
1691.2827,597
3664.8857,601
1820.5779,602
1526.2542,613
1525.7126,616
2214.2087,619
2119.5828,622
1818.1051,623
1526.5637,629
1577.7372,634
981.26855,638
1114.199,642
2019.3601,643
957.5681,645
6557.208,648
1195.945,652
1086.5009,664
2281.1082,666
900.19995,672
2173.8464,676
4009.1802,678
1885.7529,682
2807.1357,686
2196.6917,688
1279.6954,689
1771.5175,690
11901.63,692
1745.6666,695
4140.388,697
2142.967,698
2692.0183,706
1497.5732,708
3007.9065,712
4501.4644,715
1379.4236,717
3302.4924,725
1141.7548,729
1451.28,737
5623.8335,739
3345.746,747
2693.9468,753
2161.216,758
2276.3108,759
1466.6915,763
4237.275,773
2079.2783,774
1556.4714,776
3214.727,788
2597.1025,790
1044.6027,794
3030.6438,801
1501.1953,802
1268.5339,805
5183.5464,809
1724.8788,812
2314.1174,825
2314.3884,828
1549.3274,830
1203.5452,833
6247.8467,850
5786.258,852
1492.5594,862
1333.5345,863
1453.5446,864
3580.71,865
6493.194,868
1506.9093,872
5102.8477,879
1536.089,880
1302.5286,883
1432.3751,886
1738.5406,923
1498.557,924
1357.4287,932
6193.4546,945
6473.8364,947
2179.868,948
2927.8032,955
4171.582,963
1632.512,979
1529.117,989
3143.485,994
1767.7344,995
1438.2695,998
4157.6543,1000
1760.4752,1018
1740.6364,1019
1693.4005,1028
1346.1305,1034
1573.4792,1038
1369.0166,1040
1353.3984,1042
6787.367,1057
2319.948,1058
1010.50635,1063
4619.957,1066
4187.0264,1071
4043.1685,1073
3118.934,1074
2775.0605,1077
8497.3955,1080
851.74976,1088
799.71216,1096
11806.16,1097
5462.089,1105
1876.5508,1115
3117.0862,1116
2354.2656,1122
4998.1987,1130
1059.6653,1133
1855.8774,1137
2047.5576,1140
7440.8135,1143
4683.7544,1149
941.7479,1150
771.4218,1153
895.58057,1157
643.1287,1180
827.8745,1183
1628.374,1188
1151.82,1193
741.0635,1200
3800.3762,1209
1976.0364,1214
2040.3523,1219
5775.204,1223
828.8331,1227
1645.4788,1228
4835.2744,1229
1015.1687,1233
6222.997,1238
1889.5806,1239
3241.8667,1241
1773.4785,1243
1205.1409,1244
3393.9219,1245
4567.475,1277
3353.227,1279
11010.552,1292
1366.2233,1293
9006.347,1299
2816.4187,1304
3786.544,1313
2302.9668,1328
1053.6777,1330
1542.3562,1334
1268.8477,1335
6205.4653,1336
1070.8368,1341
1131.3157,1344
817.51044,1351
2633.1619,1352
1509.8663,1354
4088.128,1368
1398.959,1373
670.4863,1375
1624.6898,1381
4836.6,1384
4137.533,1385
5846.5835,1388
5364.926,1401
2572.949,1402
1547.6782,1404
1482.6471,1406
1112.6095,1409
1514.6067,1422
3157.2883,1429
5594.543,1433
1078.4678,1438
1234.6488,1444
1141.4126,1446
1135.1874,1450
741.6129,1451
1860.0166,1454
2112.408,1458
3322.7927,1461
5826.6357,1464
1030.2751,1465
2090.3606,1478
1727.6978,1479
2627.8079,1480
2288.027,1484
927.0813,1486
889.5216,1488
3322.6382,1489
1061.2291,1491
2052.915,1507
2138.798,1515
2948.5552,1519
1843.8607,1528
1017.26526,1529
2856.1812,1530
1209.7689,1532
1608.3589,1541
3312.4905,1542
1501.4323,1547
1070.3898,1549
2249.4153,1553
2907.4783,1554
1344.994,1555
1626.0206,1559
1494.2285,1565
1096.4872,1568
3532.0337,1576
969.0901,1579
917.64026,1592
3179.8303,1596
930.13965,1605
1611.2904,1607
2247.5986,1612
3020.2651,1617
2403.375,1619
7853.0938,1620
2413.6042,1624
1352.4017,1627
1634.0576,1633
1240.0846,1636
1133.6278,1639
4811.0254,1640
1129.2611,1644
1410.115,1646
2599.9624,1647
1336.1055,1654
3263.7642,1655
5998.2383,1664
2148.8655,1665
4853.377,1667
1107.5338,1669
