id,loss
4,1581.7683
6,1996.0542
9,9824.006
12,6347.8745
15,780.844
17,2280.2695
21,2074.0652
28,878.59814
32,2679.5195
43,3118.7664
46,2686.7344
50,954.8209
54,1189.5641
62,1888.9609
70,2285.223
71,4689.0293
75,2012.146
77,2442.0872
81,2539.2817
83,2386.9956
87,1989.5349
97,1516.0332
103,1156.9503
119,1103.1078
120,1773.9661
127,988.7521
138,4825.641
141,3633.467
148,688.7474
150,2516.2026
151,2057.269
158,1549.6853
160,5758.3267
165,2559.9133
168,3630.5764
169,3943.9897
177,2729.0986
178,3039.0535
184,2042.957
194,9235.541
198,1841.4734
203,3363.1697
211,2301.8499
217,1265.2827
219,1368.6688
221,4895.727
227,1813.5787
230,1585.3087
235,2069.8044
240,672.6973
243,2868.9856
249,6673.4966
253,2651.309
258,1398.7661
261,1752.8478
263,3544.158
264,2455.2966
265,4266.834
268,1832.5857
271,1179.5626
274,5910.226
275,708.9432
279,1545.8075
282,1539.5088
286,3217.9558
288,1070.4291
294,2036.9053
296,1019.8887
297,1386.9456
300,792.2715
303,8475.674
314,960.85266
315,4834.199
321,2662.4402
323,3757.9768
330,3763.605
341,2067.2893
342,4362.0815
352,1625.1919
353,3766.615
360,4848.2324
361,2326.338
362,4317.9966
366,1343.3962
372,3384.6216
376,2820.109
377,2321.3218
379,1628.2511
380,3553.0093
387,1788.6571
392,1979.99
394,10135.615
395,1600.59
397,1520.871
407,5594.571
411,9269.0205
416,2458.6477
417,1533.9976
419,3731.6462
428,6068.9272
431,1884.9297
436,8998.176
438,1628.9276
445,6585.234
446,6960.4937
455,1326.0248
456,1239.7935
461,968.33887
463,1928.3374
464,3830.1716
466,1940.9172
467,1449.2734
470,1330.2511
475,1532.4099
482,3501.2395
490,3587.025
496,1755.8877
497,4424.079
508,2824.539
510,1812.2167
512,1847.1975
513,3593.459
523,1765.5963
531,4620.2007
532,2176.4785
533,1354.6277
537,1185.1642
544,4748.8867
547,2284.2976
556,7920.3584
565,1378.429
566,1212.1736
571,1390.6047
573,1676.8063
574,936.2478
581,2038.5903
585,2064.1628
589,1872.3428
597,1733.5204
601,3501.2183
602,1888.438
613,1506.2395
616,1400.5358
619,2364.2407
622,2008.1665
623,2069.0198
629,1558.8927
634,1528.8878
638,1048.5383
642,1095.7628
643,2007.9053
645,1001.02246
648,6877.0576
652,1264.916
664,1061.705
666,2168.442
672,909.9214
676,2134.5205
678,4519.9873
682,1867.1948
686,2809.626
688,2381.7693
689,1186.8633
690,1740.8816
692,11837.8955
695,1621.5933
697,3827.628
698,2285.8782
706,2623.861
708,1460.6094
712,2949.1738
715,4255.98
717,1306.1604
725,3246.6394
729,1131.1812
737,1386.621
739,5762.5273
747,3681.4004
753,2697.0947
758,2246.7678
759,2137.829
763,1401.8628
773,4095.4336
774,2051.9087
776,1578.2849
788,2972.463
790,2936.5552
794,1010.8804
801,2833.844
802,1392.0496
805,1376.2449
809,5198.0854
812,1711.49
825,2471.6777
828,2212.6206
830,1394.3202
833,1221.2793
850,5768.512
852,6017.971
862,1445.4464
863,1344.2472
864,1605.4001
865,3568.5356
868,6540.963
872,1602.1042
879,5336.3413
880,1540.9692
883,1260.9872
886,1442.3916
923,1798.3577
924,1350.9315
932,1415.7263
945,6252.823
947,6381.751
948,2226.647
955,2768.8792
963,3994.502
979,1365.2004
989,1416.5918
994,3089.4084
995,1798.4425
998,1259.9543
1000,4285.1377
1018,1683.0956
1019,1713.8475
1028,1743.8528
1034,1280.2311
1038,1576.7034
1040,1413.4028
1042,1329.2335
1057,7080.2363
1058,2147.1738
1063,978.84607
1066,4198.2573
1071,4140.968
1073,4024.2197
1074,2858.088
1077,2690.211
1080,9384.258
1088,838.9341
1096,814.46655
1097,12060.778
1105,5671.0947
1115,1832.0828
1116,3070.141
1122,2394.3633
1130,4988.6694
1133,1037.4211
1137,1692.349
1140,2018.0735
1143,7853.6006
1149,5274.3047
1150,930.1327
1153,784.94025
1157,826.34985
1180,640.46063
1183,989.8722
1188,1707.4119
1193,1092.3407
1200,790.74347
1209,4520.1626
1214,1863.6267
1219,2014.9492
1223,5930.246
1227,836.23755
1228,1532.3157
1229,4754.681
1233,939.2311
1238,6256.1104
1239,1906.8875
1241,3155.8062
1243,1774.207
1244,1200.542
1245,3148.8687
1277,4335.0913
1279,3424.2966
1292,12475.761
1293,1382.3477
1299,9468.58
1304,2929.7815
1313,3464.4456
1328,2201.8708
1330,1090.0171
1334,1449.3402
1335,1289.7059
1336,5518.1333
1341,1028.1445
1344,1162.6115
1351,854.0276
1352,2785.9343
1354,1491.7478
1368,4116.578
1373,1376.2666
1375,658.653
1381,1549.3574
1384,4368.059
1385,4246.251
1388,5812.376
1401,5686.372
1402,2670.907
1404,1553.4889
1406,1515.1357
1409,1090.3308
1422,1399.9971
1429,2998.3787
1433,5708.1934
1438,1081.3618
1444,1124.137
1446,1145.9059
1450,1136.0758
1451,733.8038
1454,1803.1307
1458,2272.778
1461,3474.6082
1464,6049.7773
1465,991.6471
1478,2143.6487
1479,1692.0151
1480,2615.564
1484,2304.8306
1486,885.94434
1488,876.80005
1489,3523.5654
1491,993.9894
1507,2146.7476
1515,2136.4326
1519,2682.0142
1528,1703.0149
1529,994.4796
1530,2994.5347
1532,1169.5103
1541,1624.4609
1542,3638.8926
1547,1482.7289
1549,1168.999
1553,2291.5508
1554,3117.1401
1555,1296.4995
1559,1572.9745
1565,1414.4264
1568,1140.2119
1576,3471.6028
1579,1004.6273
1592,908.525
1596,3205.1855
1605,951.3795
1607,1527.7571
1612,2165.6348
1617,2988.563
1619,2272.4915
1620,8297.217
1624,2531.396
1627,1371.4913
1633,1699.9203
1636,1241.8531
1639,1152.6034
1640,4453.8354
1644,1090.9346
1646,1432.1759
1647,2428.4768
1654,1217.3168
1655,3122.0217
1664,5996.6484
1665,2077.7615
1667,5087.4155
1669,1126.825
1678,2187.3765
1682,1967.3699
1689,1049.272
1690,2605.8215
1693,5526.6685
1695,939.13
1705,2296.7932
1706,2582.646
1708,2218.6506
1716,2098.0225
1720,9095.105
1722,1669.9191
1749,4088.545
1750,1527.0355
1751,5449.8877
1760,2645.9844
1763,4445.6807
1770,1512.0569
1777,2034.3745
1785,5355.4077
1791,1166.6439
1794,4235.7603
1800,1238.0719
1816,1290.3219
1817,1037.0559
1821,3053.7285
1836,1398.9674
1838,1634.1022
1851,2196.197
1852,2875.8447
1854,2355.211
1856,808.9501
1865,768.16583
1872,1108.3976
1878,754.7607
1880,986.3087
1881,1412.0371
1882,1926.2966
1886,896.35034
1892,1497.4639
1894,2089.2642
1898,2523.7393
1899,2491.5203
1902,1188.1138
1903,4049.599
1906,1290.5153
1910,2413.0508
1911,1840.2268
1914,3130.844
1929,3036.543
1932,1379.093
1952,999.0581
1959,1341.7765
1960,1820.469
1976,3748.7625
1980,2862.3137
1981,1985.2991
1987,2277.2402
1994,1680.6818
2000,845.65247
2008,2445.231
2011,2618.0325
2012,5316.293
2019,1764.4513
2022,3453.0916
2024,9246.922
2028,878.823
2030,3690.6543
2031,6602.8057
2047,1837.5464
2049,655.6673
2050,1562.5164
2051,4484.547
2056,1678.4662
2057,1009.3063
2059,2446.875
2069,3681.9927
2085,2149.5422
